,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
696790,1389,2018-07-18 16:58:07.6620,2018-07-18 17:21:17.2650,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,312,Allen St & Stanton St,40.722055,-73.989111,20566,Annual Membership from Citi Bike App,Subscriber,1986,1
243194,398,2018-07-29 17:58:36.6350,2018-07-29 18:05:15.0300,301,E 2 St & Avenue B,40.72217444,-73.98368779,307,Canal St & Rutgers St,40.71427487,-73.98990025,29328,$25 Off Annual Membership,Subscriber,1991,1
905051,1173,2018-07-21 16:53:11.7950,2018-07-21 17:12:45.7840,499,Broadway & W 60 St,40.76915505,-73.98191841,3282,5 Ave & E 88 St,40.78307,-73.95939,21062,24 Hour,Customer,1969,0
29381,638,2018-07-11 09:24:33.3760,2018-07-11 09:35:12.2790,146,Hudson St & Reade St,40.71625008,-74.0091059,3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,31415,Annual Membership,Subscriber,1979,1
143773,923,2018-07-29 22:11:21.8550,2018-07-29 22:26:45.7700,253,W 13 St & 5 Ave,40.73543934,-73.99453948,167,E 39 St & 3 Ave,40.7489006,-73.97604882,28642,Annual Membership,Subscriber,1969,1
1063355,645,2018-07-14 18:16:33.3380,2018-07-14 18:27:18.8830,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,297,E 15 St & 3 Ave,40.734232,-73.986923,20130,Annual Membership - Save 15%,Subscriber,1994,2
591379,330,2018-07-12 19:14:38.2330,2018-07-12 19:20:08.7990,423,W 54 St & 9 Ave,40.76584941,-73.98690506,495,W 47 St & 10 Ave,40.76269882,-73.99301222,25450,$25 Off Annual Membership,Subscriber,1990,0
783875,648,2018-07-03 18:26:17.6270,2018-07-03 18:37:05.6860,476,E 31 St & 3 Ave,40.74394314,-73.97966069,523,W 38 St & 8 Ave,40.75466591,-73.99138152,32731,Annual Membership,Subscriber,1978,1
1862228,566,2018-07-23 16:55:23.0180,2018-07-23 17:04:49.3280,3659,W 17 St & 9 Ave,40.7429489166009,-74.00413691997528,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,30801,NYCHA Membership (Renewal),Subscriber,1989,1
1149092,1578,2018-07-06 17:57:45.3360,2018-07-06 18:24:04.1470,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999,3358,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,25183,$25 Off Annual Membership,Subscriber,1982,1
907686,1358,2018-07-30 15:52:03.8190,2018-07-30 16:14:42.0240,499,Broadway & W 60 St,40.76915505,-73.98191841,223,W 13 St & 7 Ave,40.73781509,-73.99994661,17034,Annual Membership from Citi Bike App,Subscriber,1983,1
146983,434,2018-07-02 17:59:52.0780,2018-07-02 18:07:06.8380,257,Lispenard St & Broadway,40.71939226,-74.00247214,3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,25651,Annual Membership,Subscriber,1990,2
1075084,1081,2018-07-23 17:58:52.2030,2018-07-23 18:16:54.0720,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,401,Allen St & Rivington St,40.72019576,-73.98997825,17429,Citi Bike Annual Membership,Subscriber,1995,1
878833,388,2018-07-17 21:42:20.5340,2018-07-17 21:48:48.6890,496,E 16 St & 5 Ave,40.73726186,-73.99238967,453,W 22 St & 8 Ave,40.74475148,-73.99915362,17009,Annual Membership,Subscriber,1978,1
1506397,131,2018-07-11 19:38:30.4290,2018-07-11 19:40:41.4520,3310,14 St & 7 Ave,40.663779,-73.98396846,3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,33068,Motivate Employee,Subscriber,1980,1
74452,383,2018-07-30 18:42:26.1510,2018-07-30 18:48:49.2740,195,Liberty St & Broadway,40.70905623,-74.01043382,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,19956,$25 Off Annual Membership,Subscriber,1987,1
29162,1273,2018-07-09 18:55:47.6840,2018-07-09 19:17:01.5080,146,Hudson St & Reade St,40.71625008,-74.0091059,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,29181,Annual Membership,Subscriber,1987,1
313928,863,2018-07-10 08:15:26.9800,2018-07-10 08:29:50.2290,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,376,John St & William St,40.70862144,-74.00722156,24814,Annual Membership,Subscriber,1984,1
1379876,302,2018-07-21 08:00:57.6970,2018-07-21 08:05:59.9060,3177,W 84 St & Broadway,40.7867947,-73.977112,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,32817,Annual Membership,Subscriber,1977,1
649593,533,2018-07-18 14:16:11.1600,2018-07-18 14:25:04.3520,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,477,W 41 St & 8 Ave,40.75640548,-73.9900262,25621,Annual Membership,Subscriber,1960,2
1912140,656,2018-07-29 18:24:10.4120,2018-07-29 18:35:07.0060,3693,N 11 St & Kent Ave,40.72248188638219,-73.95921930670737,3077,Stagg St & Union Ave,40.70877084,-73.95095259,17953,Annual Membership,Subscriber,1984,1
1701166,645,2018-07-10 08:56:11.4060,2018-07-10 09:06:56.8640,3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,320,Leonard St & Church St,40.717571,-74.005549,16021,Annual Membership,Subscriber,1992,1
1006625,393,2018-07-05 18:49:10.1630,2018-07-05 18:55:43.9440,523,W 38 St & 8 Ave,40.75466591,-73.99138152,450,W 49 St & 8 Ave,40.76227205,-73.98788205,27513,Annual Membership,Subscriber,1997,1
1029406,441,2018-07-24 17:38:00.1450,2018-07-24 17:45:21.8500,528,2 Ave & E 31 St,40.74290902,-73.97706058,440,E 45 St & 3 Ave,40.75255434,-73.97282625,25278,Annual Membership,Subscriber,1981,1
215081,457,2018-07-31 19:21:07.4850,2018-07-31 19:28:44.5770,285,Broadway & E 14 St,40.73454567,-73.99074142,445,E 10 St & Avenue A,40.72740794,-73.98142006,15316,Annual Membership,Subscriber,1962,1
26727,164,2018-07-24 08:42:10.8770,2018-07-24 08:44:55.4000,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,32589,$25 Off Annual Membership,Subscriber,1964,1
203148,695,2018-07-30 17:15:50.8250,2018-07-30 17:27:26.5590,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,28648,Annual Membership,Subscriber,1965,1
143583,462,2018-07-27 15:13:14.6400,2018-07-27 15:20:56.8460,253,W 13 St & 5 Ave,40.73543934,-73.99453948,403,E 2 St & 2 Ave,40.72502876,-73.99069656,32230,Annual Membership,Subscriber,1973,1
1271870,2411,2018-07-17 06:33:07.8090,2018-07-17 07:13:19.0160,3141,1 Ave & E 68 St,40.76500525,-73.95818491,534,Water - Whitehall Plaza,40.70255065,-74.0127234,31541,Annual Membership,Subscriber,1992,1
302900,1195,2018-07-11 18:37:24.5880,2018-07-11 18:57:20.0520,319,Fulton St & Broadway,40.711065999999995,-74.009447,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,28218,FREE Bonus Month with Annual Membership,Subscriber,1957,2
